公司代码,公司简称,B股代码,B股简称,B股上市日期,B股总股本,B股流通股本,
600054,黄山旅游,900942,黄山B股,1997-05-06,74730.00,74730.00,
600094,大名城,900940,大名城B,1997-07-03,247532.51,247532.51,
600190,锦州港,900952,锦港B股,1999-06-09,200229.15,200229.15,
600221,海航控股,900945,海控B股,1999-11-25,1680612.03,1680544.91,
600272,开开实业,900943,开开B股,1997-01-08,24300.00,24000.00,
600295,鄂尔多斯,900936,鄂资B股,1995-10-20,103200.00,103200.00,
600320,振华重工,900947,振华B股,2000-12-21,439029.46,439029.46,
600555,海航创新,900955,海创B股,2001-03-28,130350.00,130350.00,
600602,云赛智联,900901,云赛B股,1990-12-19,136767.35,117294.31,
600604,市北高新,900902,市北B股,1992-03-27,187330.48,180003.47,
600610,*ST毅达,900906,*ST毅达B,1992-08-05,107127.46,73593.46,
600611,大众交通,900903,大众B股,1992-08-07,236412.29,236412.29,
600612,老凤祥,900905,老凤祥B,1992-08-14,52311.78,52311.78,
600613,神奇制药,900904,神奇B股,1992-08-20,53407.16,53407.16,
600614,鹏起科技,900907,鹏起B股,1992-08-28,175277.38,153215.67,
600617,国新能源,900913,国新B股,1992-10-13,108466.37,100816.37,
600618,氯碱化工,900908,氯碱B股,1992-11-13,115640.00,115640.00,
600619,海立股份,900910,海立B股,1992-11-13,86631.07,74474.02,
600623,华谊集团,900909,华谊B股,1992-12-04,211743.09,117664.59,
600639,浦东金桥,900911,金桥B股,1993-03-26,112241.29,97534.25,
600648,外高桥,900912,外高B股,1993-05-04,113534.91,113534.91,
600650,锦江投资,900914,锦投B股,1993-06-07,55161.01,55161.01,
600663,陆家嘴,900932,陆家B股,1993-06-28,336183.12,336183.12,
600679,上海凤凰,900916,凤凰B股,1993-10-08,40219.89,36285.94,
600680,*ST上普,900930,*ST沪普B,1993-10-18,38222.53,38222.53,
600689,上海三毛,900922,三毛B股,1993-11-08,20099.13,20099.13,
600695,绿庭投资,900919,绿庭B股,1993-11-22,71113.21,71113.21,
600698,湖南天雁,900946,天雁B股,1993-12-06,97181.74,96690.09,
600726,华电能源,900937,华电B股,1996-07-01,196667.52,196667.52,
600751,海航科技,900938,海科B,1996-09-09,289933.78,289933.78,
600754,锦江股份,900934,锦江B股,1996-10-11,95793.64,80451.77,
600776,东方通信,900941,东信B股,1996-11-26,125600.01,125600.01,
600801,华新水泥,900933,华新B股,1994-01-03,149757.13,149757.13,
600818,中路股份,900915,中路B股,1994-01-28,32144.79,32144.79,
600819,耀皮玻璃,900918,耀皮B股,1994-01-28,93491.61,93491.61,
600822,上海物贸,900927,物贸B股,1994-02-04,49597.29,49597.29,
600827,百联股份,900923,百联B股,1994-02-04,178416.81,172249.58,
600835,上海机电,900925,机电B股,1994-02-24,102273.93,102273.93,
600841,上柴股份,900920,上柴B股,1994-03-11,86668.98,86668.98,
600843,上工申贝,900924,上工B股,1994-03-11,54858.96,54858.96,
600844,丹化科技,900921,丹科B股,1994-03-11,101652.42,101652.42,
600845,宝信软件,900926,宝信B,1994-03-11,87739.98,83911.26,
600848,上海临港,900928,临港B股,1994-03-24,111991.93,50669.90,
600851,海欣股份,900917,海欣B股,1994-04-04,120705.67,120705.67,
900929,锦旅B股,900929,锦旅B股,1994-09-28,13255.66,6600.00,
900939,汇丽B,900939,汇丽B,1996-06-28,18150.00,8800.00,
900948,伊泰B股,900948,伊泰B股,1997-08-08,325400.70,165400.70,
900951,ST大化B,900951,ST大化B,1997-10-21,27500.00,10000.00,
900953,凯马B,900953,凯马B,1998-06-24,64000.00,24000.00,
900956,东贝B股,900956,东贝B股,1999-07-15,23500.00,11500.00,
900957,凌云B股,900957,凌云B股,2000-07-28,34900.00,18400.00,
